id arrival begin end wait queue duration order
126 13890 13890 14365 0 0 475 168
7 21896 21896 22374 0 0 478 169
115 1854 1854 2333 0 0 479 170
307 24449 24449 24929 0 0 480 171
62 3714 3750 4198 36 1 448 172
120 39593 39593 40084 0 0 491 173
73 15601 16081 16095 480 6 14 174
323 35585 35585 36080 0 0 495 175
327 20863 20957 21360 94 1 403 176
150 5034 5034 5532 0 0 498 177
0 20938 21001 21437 63 2 436 178
356 37093 37093 37593 0 0 500 179
265 32525 32525 33027 0 0 502 180
249 38816 38816 39319 0 0 503 181
109 33316 33316 33821 0 0 505 182
199 10562 10562 11075 0 0 513 183
204 20989 21160 21505 171 2 345 184
339 35264 35264 35782 0 0 518 185
335 31075 31088 31594 13 1 506 186
26 2155 2222 2675 67 1 453 187
166 9234 9234 9754 0 0 520 188
286 25815 25815 26335 0 0 520 189
196 16065 16123 16590 58 3 467 190
125 31756 31756 32286 0 0 530 191
142 38620 38620 39150 0 0 530 192
291 38789 38789 39322 0 0 533 193
236 28809 28809 29346 0 0 537 194
41 10577 10577 11118 0 0 541 195
191 28154 28154 28699 0 0 545 196
357 17445 17445 17990 0 0 545 197
174 20802 20802 21348 0 0 546 198
119 6621 6621 7168 0 0 547 199
39 35744 35744 36292 0 0 548 200
270 11988 12232 12536 244 2 304 201
255 6014 6014 6566 0 0 552 202
283 23044 23152 23596 108 1 444 203
354 9258 9258 9813 0 0 555 204
33 28141 28141 28698 0 0 557 205
19 2658 2658 3224 0 0 566 206
124 33235 33235 33802 0 0 567 207
100 15225 15661 15793 436 6 132 208
56 18933 18933 19511 0 0 578 209
113 31037 31037 31616 0 0 579 210
221 42172 42172 42753 0 0 581 211
3 32168 32168 32751 0 0 583 212
165 31640 31640 32223 0 0 583 213
190 3055 3055 3641 0 0 586 214
292 28248 28248 28834 0 0 586 215
137 9735 9735 10325 0 0 590 216
167 22374 22374 22967 0 0 593 217
177 15487 15852 16081 365 7 229 218
295 25017 25017 25611 0 0 594 219
352 5034 5034 5630 0 0 596 220
2 30314 30314 30915 0 0 601 221
98 39090 39090 39694 0 0 604 222
276 5539 5539 6144 0 0 605 223
92 26657 26657 27264 0 0 607 224
105 29650 29650 30259 0 0 609 225
130 19939 19939 20551 0 0 612 226
325 27925 27925 28538 0 0 613 227
306 30793 30793 31407 0 0 614 228
193 22174 22174 22791 0 0 617 229
242 38106 38106 38723 0 0 617 230
227 20380 20380 21001 0 0 621 231
202 36046 36046 36679 0 0 633 232
179 6457 6457 7097 0 0 640 233
186 17233 17233 17873 0 0 640 234
321 6038 6038 6678 0 0 640 235
215 10653 10653 11295 0 0 642 236
158 31705 31705 32354 0 0 649 237
299 8705 8705 9356 0 0 651 238
8 21299 21360 21951 61 2 591 239
312 23009 23009 23661 0 0 652 240
147 18749 18749 19404 0 0 655 241
128 33059 33059 33715 0 0 656 242
4 33556 33556 34216 0 0 660 243
300 12343 12437 13005 94 1 568 244
129 26818 26818 27482 0 0 664 245
79 38321 38321 38986 0 0 665 246
256 21778 21778 22445 0 0 667 247
77 16708 16708 17377 0 0 669 248
156 18422 18422 19095 0 0 673 249
12 1653 1653 2327 0 0 674 250
82 20279 20279 20957 0 0 678 251
131 31351 31407 32029 56 1 622 252
101 22582 22582 23261 0 0 679 253
210 587 587 1267 0 0 680 254
87 11758 11758 12442 0 0 684 255
1 14564 14943 15258 379 6 315 256
281 9163 9163 9857 0 0 694 257
37 34092 34092 34791 0 0 699 258
326 30948 30948 31648 0 0 700 259
207 36977 36977 37687 0 0 710 260
72 16165 16167 16879 2 2 712 261
243 3059 3224 3774 165 1 550 262
336 33264 33264 33979 0 0 715 263
35 10055 10055 10774 0 0 719 264
296 31730 31730 32454 0 0 724 265
86 37441 37593 38166 152 2 573 266
211 36875 36875 37602 0 0 727 267
225 3059 3059 3787 0 0 728 268
16 13847 13847 14576 0 0 729 269
344 7558 7558 8288 0 0 730 270
231 12178 12310 12913 132 2 603 271
340 40906 40906 41641 0 0 735 272
201 23293 23293 24030 0 0 737 273
75 11920 11920 12658 0 0 738 274
322 5017 5017 5764 0 0 747 275
54 23964 23964 24714 0 0 750 276
230 5519 5519 6269 0 0 750 277
228 15372 15687 16123 315 5 436 278
313 20836 20836 21587 0 0 751 279
141 14908 15308 15661 400 4 353 280
169 13714 13714 14468 0 0 754 281
22 37137 37137 37893 0 0 756 282
212 3883 3883 4641 0 0 758 283
262 14927 15346 15685 419 5 339 284
287 15093 15593 15852 500 5 259 285
74 32108 32108 32870 0 0 762 286
271 9680 9680 10445 0 0 765 287
127 30000 30241 30768 241 1 527 288
178 24211 24211 24986 0 0 775 289
226 25616 25616 26392 0 0 776 290
46 20383 20383 21160 0 0 777 291
51 14168 14365 14947 197 1 582 292
341 4992 4992 5777 0 0 785 293
170 23567 23661 24354 94 2 693 294
275 12901 12901 13689 0 0 788 295
164 14077 14077 14867 0 0 790 296
240 983 983 1784 0 0 801 297
162 30449 30449 31257 0 0 808 298
214 36879 36879 37689 0 0 810 299
324 14130 14130 14943 0 0 813 300
188 17136 17136 17954 0 0 818 301
305 16311 16407 17129 96 1 722 302
114 627 627 1448 0 0 821 303
315 29950 29950 30774 0 0 824 304
194 41543 41543 42369 0 0 826 305
359 25036 25036 25862 0 0 826 306
10 27403 27403 28230 0 0 827 307
320 13777 13777 14604 0 0 827 308
70 2094 2094 2922 0 0 828 309
257 34566 34566 35395 0 0 829 310
358 29507 29507 30337 0 0 830 311
342 40413 40413 41245 0 0 832 312
157 11604 11604 12437 0 0 833 313
27 22830 22830 23664 0 0 834 314
43 27142 27142 27977 0 0 835 315
314 3491 3601 4328 110 1 727 316
133 11741 11741 12579 0 0 838 317
155 29472 29472 30311 0 0 839 318
239 1160 1160 1999 0 0 839 319
134 24405 24405 25246 0 0 841 320
182 38126 38126 38968 0 0 842 321
229 20560 20560 21406 0 0 846 322
49 15992 16095 16840 103 2 745 323
319 26310 26310 27162 0 0 852 324
104 21409 21409 22265 0 0 856 325
20 42221 42221 43080 0 0 859 326
234 34701 34701 35560 0 0 859 327
