id arrival begin end wait queue duration serviceTime order
2122 1495 6319 6608 4824 16 289 5113 141
1972 1404 6106 6580 4702 17 474 5176 142
3071 1591 6628 6796 5037 18 168 5205 143
1026 1584 6608 6816 5024 17 208 5232 144
1267 1546 6446 6867 4900 20 421 5321 145
1729 1566 6507 6897 4941 16 390 5331 146
1614 1578 6567 6980 4989 24 413 5402 147
2677 1451 6282 6872 4831 17 590 5421 148
809 1689 6980 7282 5291 25 302 5593 149
12 1653 6867 7277 5214 20 410 5624 150
1375 1614 6796 7261 5182 19 465 5647 151
1341 1676 6897 7390 5221 17 493 5714 152
1569 1637 6816 7364 5179 18 548 5727 153
668 1704 7364 7437 5660 19 73 5733 154
1154 1672 6872 7439 5200 17 567 5767 155
837 1694 7277 7612 5583 21 335 5918 156
2581 1782 7612 7739 5830 22 127 5957 157
2074 1704 7390 7686 5686 18 296 5982 158
2439 1725 7437 7717 5712 20 280 5992 159
898 1812 7686 7860 5874 19 174 6048 160
2562 1700 7282 7778 5582 26 496 6078 161
1124 1847 7860 7926 6013 20 66 6079 162
2115 1690 7261 7850 5571 20 589 6160 163
1426 1852 7926 8080 6074 20 154 6228 164
1072 1751 7439 8005 5688 17 566 6254 165
873 1824 7739 8103 5915 23 364 6279 166
2478 1840 7778 8127 5938 26 349 6287 167
115 1854 8080 8175 6226 21 95 6321 168
1447 1957 8332 8348 6375 25 16 6391 169
317 1844 7850 8251 6006 21 401 6407 170
1683 1812 7717 8260 5905 21 543 6448 171
772 1880 8103 8332 6223 24 229 6452 172
272 1924 8260 8378 6336 20 118 6454 173
1200 1904 8251 8359 6347 22 108 6455 174
2642 2058 8530 8539 6472 23 9 6481 175
1599 2009 8378 8516 6369 20 138 6507 176
2611 1882 8127 8467 6245 27 340 6585 177
2097 2017 8467 8630 6450 27 163 6613 178
350 1891 8175 8530 6284 22 355 6639 179
70 2094 8700 8736 6606 26 36 6642 180
3152 2018 8512 8674 6494 17 162 6656 181
3307 1852 8005 8512 6153 18 507 6660 182
2274 2091 8674 8777 6583 18 103 6686 183
2041 1963 8348 8700 6385 26 352 6737 184
796 2123 8777 8893 6654 19 116 6770 185
1759 2150 8851 8961 6701 22 110 6811 186
2476 2023 8516 8851 6493 21 335 6828 187
589 1978 8359 8849 6381 23 490 6871 188
1454 2073 8539 8981 6466 24 442 6908 189
1279 2221 9125 9141 6904 27 16 6920 190
2983 2182 8981 9123 6799 25 142 6941 191
2179 2121 8736 9125 6615 26 389 7004 192
3486 2075 8630 9162 6555 28 532 7087 193
917 2154 8893 9347 6739 20 454 7193 194
185 2133 8849 9365 6716 23 516 7232 195
1657 2211 9123 9453 6912 26 330 7242 196
2079 2240 9141 9533 6901 28 392 7293 197
26 2155 8961 9486 6806 23 525 7331 198
3496 2293 9533 9664 7240 29 131 7371 199
2706 2241 9162 9642 6921 27 480 7401 200
99 2349 9743 9751 7394 24 8 7402 201
1027 2273 9453 9682 7180 27 229 7409 202
2335 2279 9486 9699 7207 24 213 7420 203
2869 2371 9820 9851 7449 28 31 7480 204
2382 2262 9365 9743 7103 23 378 7481 205
2000 2313 9642 9820 7329 28 178 7507 206
695 2323 9682 9852 7359 28 170 7529 207
539 2460 10015 10113 7555 30 98 7653 208
1415 2356 9751 10009 7395 25 258 7653 209
31 2403 9852 10069 7449 28 217 7666 210
734 2249 9347 9931 7098 20 584 7682 211
3543 2430 10009 10116 7579 26 107 7686 212
1103 2552 10179 10242 7627 28 63 7690 213
1529 2315 9664 10015 7349 30 351 7700 214
2151 2615 10297 10336 7682 21 39 7721 215
922 2552 10116 10279 7564 26 163 7727 216
1045 2510 10113 10261 7603 31 148 7751 217
1149 2325 9699 10108 7374 25 409 7783 218
2129 2634 10317 10418 7683 30 101 7784 219
1115 2390 9851 10179 7461 29 328 7789 220
3271 2472 10069 10317 7597 29 248 7845 221
3128 2427 9931 10297 7504 21 366 7870 222
735 2758 10657 10672 7899 32 15 7914 223
19 2658 10514 10576 7856 25 62 7918 224
1963 2578 10242 10538 7664 29 296 7960 225
2008 2637 10336 10603 7699 22 267 7966 226
2679 2582 10261 10578 7679 31 317 7996 227
2020 2651 10418 10657 7767 31 239 8006 228
1048 2768 10672 10776 7904 33 104 8008 229
273 2497 10108 10514 7611 25 406 8017 230
3268 2591 10279 10625 7688 27 346 8034 231
3293 2658 10538 10758 7880 30 220 8100 232
1798 2681 10576 10782 7895 26 206 8101 233
857 2688 10625 10794 7937 27 169 8106 234
2842 2827 10794 11031 7967 27 237 8204 235
1538 2682 10578 10893 7896 30 315 8211 236
1980 2827 10782 11097 7955 27 315 8270 237
2460 2865 11182 11257 8317 30 75 8392 238
696 2993 11360 11386 8367 28 26 8393 239
1025 2783 10758 11182 7975 29 424 8399 240
629 2683 10603 11094 7920 23 491 8411 241
355 2808 10776 11228 7968 34 452 8420 242
2793 3007 11386 11433 8379 29 47 8426 243
3108 2861 11097 11360 8236 28 263 8499 244
2753 2832 10893 11340 8061 31 447 8508 245
2682 2906 11257 11429 8351 30 172 8523 246
311 2849 11094 11404 8245 23 310 8555 247
316 2836 11031 11448 8195 28 417 8612 248
2902 3041 11433 11677 8392 30 244 8636 249
190 3055 11448 11722 8393 29 274 8667 250
1606 3017 11404 11694 8387 24 290 8677 251
243 3059 11722 11840 8663 30 118 8781 252
1626 2910 11340 11691 8430 31 351 8781 253
1257 2877 11228 11732 8351 34 504 8855 254
1586 3064 11732 11968 8668 34 236 8904 255
3348 3023 11429 11938 8406 31 509 8915 256
71 3057 11677 12063 8620 31 386 9006 257
3378 3058 11691 12077 8633 32 386 9019 258
3060 3116 11968 12232 8852 35 264 9116 259
225 3059 11694 12182 8635 25 488 9123 260
465 3134 12182 12301 9048 26 119 9167 261
334 3143 12232 12369 9089 36 137 9226 262
2085 3077 11840 12333 8763 31 493 9256 263
1412 3128 12077 12472 8949 33 395 9344 264
1220 3114 11938 12528 8824 32 590 9414 265
1272 3118 12063 12548 8945 32 485 9430 266
2365 3253 12548 12756 9295 33 208 9503 267
826 3176 12369 12696 9193 37 327 9520 268
2687 3277 12756 12832 9479 34 76 9555 269
824 3153 12301 12743 9148 27 442 9590 270
2624 3323 12955 12957 9632 34 2 9634 271
2381 3276 12743 12957 9467 27 214 9681 272
745 3224 12528 12913 9304 32 385 9689 273
3236 3158 12333 12867 9175 32 534 9709 274
1047 3179 12472 12955 9293 34 483 9776 275
2159 3274 12696 13195 9422 38 499 9921 276
3001 3357 13289 13307 9932 34 18 9950 277
